,iso_code,lat,lon
224,TZA,-6.0,35.0
225,THA,15.0,100.0
226,TLS,-8.55,125.5167
227,TGO,8.0,1.1667
228,TKL,-9.0,-172.0
229,TON,-20.0,-175.0
230,TTO,11.0,-61.0
231,TUN,34.0,9.0
232,TUR,39.0,35.0
233,TKM,40.0,60.0
234,TCA,21.75,-71.5833
235,TUV,-8.0,178.0
236,UGA,1.0,32.0
237,UKR,49.0,32.0
238,ARE,24.0,54.0
239,GBR,54.0,-2.0
240,USA,38.0,-97.0
241,UMI,19.2833,166.6
242,URY,-33.0,-56.0
243,UZB,41.0,64.0
244,VUT,-16.0,167.0
245,VEN,8.0,-66.0
247,VNM,16.0,106.0
249,VGB,18.5,-64.5
250,VIR,18.3333,-64.8333
251,WLF,-13.3,-176.2
252,ESH,24.5,-13.0
253,YEM,15.0,48.0
254,ZMB,-15.0,30.0
255,ZWE,-20.0,30.0
